------------------------------------------------------
Jeu de données : 122 joueurs / 6 rounds
Taille des classes : [29, 11, 35, 15, 32]
------------------------------------------------------

           |  26[0]  27[0]  28[0]  29[0]  44[0]  45[0]  46[0]  47[0]  48[0]  49[0]  50[0]  51[0]  52[0]  53[0]  54[0]  55[0]  56[0]  57[0]  58[0]  59[0]  60[0]  61[0]  62[0]  63[0]  64[0]  65[0]  66[0]  67[0]  68[0]  69[0]  70[0]  71[0]  72[0]  73[0]  74[0]  90[1]  91[1]  92[1]  93[1]  94[1]  95[1]  96[1]  97[1]  98[1]  99[1] 100[1] 101[1] 102[1] 103[1] 104[1] 105[1] 106[1] 107[1] 108[1] 109[1] 110[1] 111[1] 112[1] 113[1] 114[1] 115[1] 116[1] 117[1] 118[1] 119[1] 120[1] 121[1]   0[2]   1[2]   2[2]   3[2]   4[2]   5[2]   6[2]   7[2]   8[2]   9[2]  10[2]  11[2]  12[2]  13[2]  14[2]  15[2]  16[2]  17[2]  18[2]  19[2]  20[2]  21[2]  22[2]  23[2]  24[2]  25[2]  30[2]  31[2]  32[2]  75[3]  76[3]  77[3]  78[3]  79[3]  80[3]  81[3]  82[3]  83[3]  84[3]  85[3]  86[3]  87[3]  88[3]  89[3]  33[4]  34[4]  35[4]  36[4]  37[4]  38[4]  39[4]  40[4]  41[4]  42[4]  43[4]
(B)  59[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _             4                                                                                                 5                                         6                                                                                   1                                                                                   2                           3                                                                                                                                                                                                                                                                         2
(W)  60[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                    1                                                                                                               5                           3                                         4             6                                                                                                                                                                       2                                                                                                                      3
(B)  61[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                               4             1             2                                                                                                 6                                                                                                                                                                                                                                                                                       3                                                                     5                           4
(W)  62[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            5                                                                                                                                           3                                         6                           1                                                                     4                                                       2                                                                                          3
(B)  63[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                                 5             2                                                                                                 3                           6                                                                                                                                                                                                                 4             1                                         3
(W)  64[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                  3             1                           5                                                                                                                                                                                                   6             4                                                                                                                                           2                                                                                                                                                                                            2
(B)  65[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                 6                                                                                   5                                                                                   2             1                                                                                                               3                                                                                   4                                                                                                                                           3
(W)  66[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      6                                                                                                 3                           2                                         4                                                       5                                         1                                                                                                                                                                                                                                                                                                                                                      2
(B)  67[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   2                                                                                                                                                         4                                                                                                                                                                                                   6                                         1                           5                           3                                                                                   3
(W)  68[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                      2                                                                                   1             5                                                       4                                                                                                                                                         6                                         3                                                                                                                                                  3
(B)  69[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                           1                                                                     6                           3                                                                     4             5                                                                                                                                                         2                                                                                                                                           3
(W)  70[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                    1                                                                                                 5                                         3             6                                                                                                                                                                                                                                                                                                                   4                                                                     2                                                              3
(B)  71[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                     1                                                                                                                                                                                                                               5                                                                                   3                                                                                                                             6                                         2                                         4                           4
(W)  72[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      1                                                       4                                                                                                                                                                                     6                                                                                                 3                                                                                                               2                                                       5                                                                                                        3
(B)  73[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                   2                                                                                                                                           3                           6                           4                                                       1                                                                                   5                                                                                   3
(W)  74[0] |     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                  2                                                                     4                                         5                                                                                   1                                                                                                                                                                                                   3                           6                                                                                                                                                                3
(B)  90[1] |     4                                                                                                                                                                                     6                                         1                    _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                         5                                                                                                                                                                                                                                                                         2                                                                     3             4
(W)  91[1] |                                                                                                                                          4                                                                                                               _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      2                           6                                                                                                                                           5                                                                                                 3                                         1                                                                            4
(B)  92[1] |     6                                                                                                 5                                                                                                               1                                  _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                                 4             2                                                                                                                             3                                         3
(W)  93[1] |                                                                                  5                                         6                                                                                                                             _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      3             4             1             2                                                                                                                                                                                                                                                                                                                                                      2
(B)  94[1] |                                                             5                           1                                                                                   3                                                                     2      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                   6                                                                                                                                                         4                                         3
(W)  95[1] |                                                                                                5                           3                                                                                                                             _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                                                                                                1             2                                                                     6                           4      3
(B)  96[1] |                                                                           3                                                                                                 1                                                                            _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _             2                           4                                                                                   5                                         6                                                                                                                                                                                                                               2
(W)  97[1] |                                                      2                                                                                                                                                                                                   _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                              3                                                                     5                           1                                                                     4                                                                     6                                                                                          3
(B)  98[1] |     5             2                                                                                                                                                                                                                 4                    _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                           3                                                                                                               1                                                                                                                                                         6                                                                                                 3
(W)  99[1] |                                                                                                4                                                                                                                             1                           _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                                                                    2             5             6                                                                     3                                                3
(B) 100[1] |                   1             2                                                                                   6                                                       5                                                                            _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                                                                                         3                                         4                                                                                   2
(W) 101[1] |                                                                                                                                                                                                  2                                                       _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      6                           4                           5             1                                                                                                                                                                                                                               3                                                                                          3
(B) 102[1] |                                 3                                                       2                                                                                                                                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _             5                                                                                                                                                         1                                                                                                                             4                           6                                                                     4
(W) 103[1] |                                                                                                                                                                                    6                                                                     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                    2                                                                                   5             4                                                                                                                             1                                                                                                                                           3      4
(B) 104[1] |                                                                                         5                                                                                                 3                                                       4      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                         6                                                                                                                                                                                     2                           1                           3
(W) 105[1] |                                                                                                                                          5             4                                                                                                 _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                              2                                                       6                                         3                                                                                                                                                                                                                 1                    3
(B) 106[1] |                                                                           4                                                                                                                             2             5                                  _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                               1                           3                                                                                                                                                                                                   6                                                       3
(W) 107[1] |                                                      5                                                                                                 1                                                                                                 _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                              2             6                           3                                                                                                                             4                                                4
(B) 108[1] |                                               5                                                                                                 1                                         2                                                              _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                           6                                                       3                                                                                                                                                                                                   4                                                                                                               3
(W) 109[1] |                                                                    5                                                                                   2                                                       1                                         _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      4                                                                                                                                           3                                                                     6                                                                                                                                                                              3
(B) 110[1] |                                                                                                       2                                                                                                                                           5      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                         1                                                       4                                                                                                                             3             6                                                                                                                                                         3
(W) 111[1] |                                                                                                              4                           6                                                                                                               _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                              1             3                                                                                                                                                                                     2                                                                                                               5                    4
(B) 112[1] |                                                                           2                                                                                                                                           3                                  _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                                                               4                           5                                                                                   1             6                                         3
(W) 113[1] |                          1                                                                     6             2                                                                                                                                           _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                          3                                         4                                                       5                                                                                                                                                                                                          2
(B) 114[1] |                                               2                           1                                                                                                               4                           6                                  _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                           5                                                                                                                                                                                                                 3                                                                                                                                                         3
(W) 115[1] |                          6                                                                     1                                                                                   5                                                                     _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                  3                                                                                                                                                         2                                                                                                                             4                                                                            3
(B) 116[1] |                                                                                                                                                               5                                                                                          _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                       3             4                                                                                                                                                         6                                         2             1                                                                                                               3
(W) 117[1] |                                                                    6                                         3                                                                                                                             2             _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                            4             5                                                                                                                                                                                                                                                                                                     1      3
(B) 118[1] |                                               3             6                                                                                                                                           1                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                         2                                                                                                               5                                                       4                                                                     4
(W) 119[1] |                                                      1                                                                                                               5                                         6                                         _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                        2                                                                                                                                                                                     3                                         4                                                              4
(B) 120[1] |     1                           6                                                                                                                                                                       5                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                           4                                                                                                 2                                                                                                                                                         3                                                                                                               3
(W) 121[1] |            1                                                                                                                                                         2                                                                                   _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                    3                                                       6                           4                                                                                                                                                                                                                 5                                                                            3
(B)   0[2] |                                                                                                                                                                                           5                                                       1             2             3                                                       6                                                       4                                                                                          _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            2
(W)   1[2] |                                                                                                                                          1             6                                         4             3                                                                                   2                                         5                                                                                                                                           _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            2
(B)   2[2] |                                               1                                                                                                 5                                                                                   6                                         4                                                                     2                                                                                                                             3      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            2
(W)   3[2] |                                                                                                2                                                                                                                                                                                                                 3                                                                     6                                         5                                         4             _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   1                                                                                                        3
(B)   4[2] |                                                             2                                                                     5                                                                                                                             6             1                                                       4                                                                                                 3                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            2
(W)   5[2] |                                                                                                                                                                                    2                                                                     5                                         4                                                                                                 1                                                                                   _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                       3                                                                     6                                                              4
(B)   6[2] |                                                                                                                                                 3                           6             1             4                                                                     2                                                                                                                                                                                                          _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                    5                                                                                                                                                                       3
(W)   7[2] |                                                                    4                                                                                                               1                                                                                                                                                                                                                                                           3                                         _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                           5                                                       6                                                                     2                                  4
(B)   8[2] |                                               6                                                                                                                             4                                                                                                                             3                           5                           2                                         1                                                                            _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            2
(W)   9[2] |            6                                                                                   3                           2                                                                                                 5                                                                                                                                                                                                                 4                                         _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                         1                                  3
(B)  10[2] |                                                                                                                     5                                                                                                                                                                                                                 1                                                                     3                                         4                           6      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                            2                                                                                                               3
(W)  11[2] |                                                                                                                            1                                                                                   4                                                                                                                                                                       3                                                                                                 _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                           6                           2             5      3
(B)  12[2] |                                 1                                                                                                               4                                                                                                                                                                                                                                                                         3                           5                                  _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                  2                                                                                                                             6                           4
(W)  13[2] |                                                                                                              6                           2                           3                                         5                                                                                                                                                                                     4                                                                                   _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                             1                                                              3
(B)  14[2] |                                                                                                                                                 6             3                                                                                                                                                                                     5                                                                                                               2             4      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                              1                                                                                                                             3
(W)  15[2] |            4             5             2             6                                                                                                                                                                                     3                                                                                                                             1                                                                                                               _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            2
(B)  16[2] |                                 5                                                                                                 1                                                                                                 3                                                                                                               4             6                                                                                                                      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                          2                                                                                                 3
(W)  17[2] |                                                      4                                                                                   3                           6                                                                                                                             5                                                                                                                                                                       2             _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                           1                                                3
(B)  18[2] |     2             6                                                                     3                                                                                                                                                                                                                 5                                                                                                               4                                                              _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      1                                                                                                                                                                                     3
(W)  19[2] |                                                                                                                                                                                                                                            6                                                                     1                                                       3                                                                                                               _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                     5                           4                                         2                                                4
(B)  20[2] |                   4                                                                                                                                           6                                                                                                                                                                                                                               3                                                                                          _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                  5             2             1             3
(W)  21[2] |                                                                                                                            4                                                                                                 3                                                                                                                             6                                                                                                 2                           _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _             1                                                                                   5                                                                                          3
(B)  22[2] |                                               4                                                                                   2                                                                                                                                                                       1                                                       3                                                                                                                      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                        6                           5                                                       4
(W)  23[2] |                                                                                                                                                                                    3                                                       4                                                       6                                         1                                                                                                                                           _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _             2                           5                                                                                                                                                  3
(B)  24[2] |                                                                                                                     3                                         1                                                                                                 5                                                                                                               2                                                                                                        _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                  4                           6                                                                                                                             3
(W)  25[2] |            3             2                                                                                   5                                                                                                                                                                                                                                                                                                                                                                           _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                       1                                                                                                               4             6      3
(B)  30[2] |                                 4                           3                                         1                                                                                                                                                                                                                                                                         6                                         5             2                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            2
(W)  31[2] |            2                           5                                         4                                                                                                                                                                                                   6                                                                                                                                                                                                   _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                           1                                                                                                 3                                                              4
(B)  32[2] |                                                             4             5                                         1                                                       2                           6                                         3                                                                                                                                                                                                                                      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                                                                                                                            1
(W)  75[3] |            5                                                                     3                                                                                                               6                                                                     4                                                                                                                                                                                                                                                                                                                                               1                                                                            _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                            2      4
(B)  76[3] |                                                                                                       4                                                                                                                                                                                                                                                                         3             6                                                                                                                                                                                                                                             1             2                                         _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                     5             4
(W)  77[3] |                                                                                                                                                                                                                                            1                           2                                                                                                                             3             4                           6                                                                                   5                                                                                                                                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(B)  78[3] |                                                                                                                                   3                                                                                                 2             6                                                       4                                                                                                                                                                                                                               5                                                                                                                                           1             _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(W)  79[3] |                                                                                  1                                                                                                                                                                                                                                                                                                                   6                           3                                                                                                                                           2                                                                                   4                                  _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                5                                  4
(B)  80[3] |                                                                                                       6                                                       4                                         3                                                                                                               2                           1                                                                                                                                                                                                                                                                                                     5                                         _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   3
(W)  81[3] |                                        6             3                                                                                                                             4             1             2                                                                                                                                                                                                   5                                                                                                                                                                                                                                                                                _      _      _      _      _      _      _      _      _      _      _      _      _      _      _                                                                                   2
